Date,Price,Open,High,Low,Vol.,Change %,,Time,
2019/10/30,"2,237.31","2,231.83","2,240.15","2,226.07",-,0.22%,,2019/8/5,2097.32
2019/10/31,"2,233.53","2,238.81","2,241.21","2,226.09",-,-0.17%,,2019/8/6,2109.2
2019/11/1,"2,252.07","2,232.03","2,252.07","2,231.82",-,0.83%,,2019/8/7,2114.05
2019/11/4,"2,261.45","2,251.78","2,265.29","2,251.54",-,0.42%,,2019/8/8,2146.91
2019/11/5,"2,259.26","2,259.88","2,264.49","2,257.30",-,-0.10%,,2019/8/9,2135.34
2019/11/6,"2,261.37","2,260.10","2,261.83","2,256.19",-,0.09%,,2019/8/10,#N/A
2019/11/7,"2,266.69","2,261.01","2,273.18","2,260.98",-,0.24%,,2019/8/11,#N/A
2019/11/8,"2,268.83","2,266.83","2,268.83","2,258.63",-,0.09%,,2019/8/12,2117.73
2019/11/11,"2,266.36","2,268.45","2,269.75","2,259.76",-,-0.11%,,2019/8/13,2134.54
2019/11/12,"2,270.01","2,265.85","2,275.34","2,264.78",-,0.16%,,2019/8/14,2086.26
2019/11/13,"2,268.33","2,270.39","2,270.55","2,259.81",-,-0.07%,,2019/8/15,2082.84
2019/11/14,"2,265.29","2,268.23","2,268.44","2,260.68",-,-0.13%,,2019/8/16,2108.5
2019/11/15,"2,282.80","2,266.54","2,282.80","2,266.37",-,0.77%,,2019/8/17,#N/A
2019/11/18,"2,285.76","2,282.81","2,286.36","2,278.96",-,0.13%,,2019/8/18,#N/A
2019/11/19,"2,284.85","2,285.02","2,290.09","2,280.67",-,-0.04%,,2019/8/19,2131.81
2019/11/20,"2,274.92","2,283.22","2,283.89","2,267.23",-,-0.43%,,2019/8/20,2119.57
2019/11/21,"2,270.36","2,275.52","2,275.52","2,264.90",-,-0.20%,,2019/8/21,2135.52
2019/11/22,"2,273.89","2,269.62","2,277.42","2,268.76",-,0.16%,,2019/8/22,2131.68
2019/11/25,"2,290.65","2,273.60","2,290.70","2,273.55",-,0.74%,,2019/8/23,2094.63
2019/11/26,"2,294.78","2,291.85","2,296.56","2,290.13",-,0.18%,,2019/8/24,#N/A
2019/11/27,"2,302.67","2,295.47","2,302.84","2,295.40",-,0.34%,,2019/8/25,#N/A
2019/11/28,"2,301.79","2,303.25","2,303.72","2,301.10",-,-0.04%,,2019/8/26,2105.22
2019/11/29,"2,292.26","2,302.10","2,302.86","2,291.62",-,-0.41%,,2019/8/27,2104.85
2019/12/2,"2,276.40","2,291.89","2,296.59","2,274.80",-,-0.69%,,2019/8/28,2111.92
2019/12/3,"2,263.10","2,276.79","2,277.24","2,250.88",-,-0.58%,,2019/8/29,2133.08
2019/12/4,"2,275.47","2,262.84","2,278.44","2,260.39",-,0.55%,,2019/8/30,2138.52
2019/12/5,"2,278.63","2,275.40","2,281.48","2,272.51",-,0.14%,,2019/8/31,#N/A
2019/12/6,"2,296.39","2,279.14","2,299.53","2,279.12",-,0.78%,,2019/9/1,#N/A
2019/12/9,"2,292.58","2,298.68","2,300.00","2,292.35",-,-0.17%,,2019/9/2,2136.58
2019/12/10,"2,289.67","2,292.34","2,294.45","2,285.65",-,-0.13%,,2019/9/3,2126.92
2019/12/11,"2,295.02","2,289.37","2,298.87","2,288.04",-,0.23%,,2019/9/4,2149.8
2019/12/12,"2,309.36","2,297.33","2,316.07","2,295.80",-,0.62%,,2019/9/5,2174.27
2019/12/13,"2,319.73","2,314.50","2,329.51","2,313.38",-,0.45%,,2019/9/6,2178.9
2019/12/16,"2,337.45","2,319.52","2,341.11","2,319.52",-,0.76%,,2019/9/7,#N/A
2019/12/17,"2,336.62","2,336.95","2,339.03","2,335.06",-,-0.04%,,2019/9/8,#N/A
2019/12/18,"2,333.28","2,336.47","2,337.94","2,333.11",-,-0.14%,,2019/9/9,2178.41
2019/12/19,"2,340.65","2,333.18","2,341.03","2,331.51",-,0.32%,,2019/9/10,2179.43
2019/12/20,"2,349.87","2,340.72","2,351.09","2,339.24",-,0.39%,,2019/9/11,2194.42
2019/12/23,"2,350.75","2,349.13","2,352.75","2,348.65",-,0.04%,,2019/9/12,2201.81
2019/12/24,"2,351.84","2,351.47","2,352.21","2,349.49",-,0.05%,,2019/9/13,2205.81
2019/12/25,"2,351.22","2,351.31","2,351.73","2,349.92",-,-0.03%,,2019/9/14,#N/A
2019/12/26,"2,360.21","2,351.45","2,360.64","2,351.40",-,0.38%,,2019/9/15,#N/A
2019/12/27,"2,364.90","2,361.08","2,369.20","2,360.69",-,0.20%,,2019/9/16,2195.88
2019/12/30,"2,353.25","2,365.60","2,366.87","2,351.65",-,-0.49%,,2019/9/17,2201.77
2019/12/31,"2,358.47","2,353.24","2,358.52","2,350.34",-,0.22%,,2019/9/18,2201.02
2020/1/1,"2,358.48","2,358.25","2,358.48","2,358.03",-,0.00%,,2019/9/19,2204.67
2020/1/2,"2,375.94","2,358.01","2,375.94","2,357.16",-,0.74%,,2019/9/20,2197.55
2020/1/3,"2,363.12","2,373.88","2,375.75","2,357.68",-,-0.54%,,2019/9/21,#N/A
2020/1/6,"2,364.49","2,360.98","2,364.66","2,348.78",-,0.06%,,2019/9/22,#N/A
2020/1/7,"2,362.43","2,365.97","2,371.67","2,359.76",-,-0.09%,,2019/9/23,2193.74
2020/1/8,"2,366.93","2,362.94","2,372.28","2,357.32",-,0.19%,,2019/9/24,2182.07
2020/1/9,"2,379.85","2,365.75","2,380.67","2,365.69",-,0.55%,,2019/9/25,2184.56
2020/1/10,"2,377.62","2,380.47","2,386.53","2,375.80",-,-0.09%,,2019/9/26,2183.46
2020/1/13,"2,388.25","2,377.24","2,388.49","2,375.71",-,0.45%,,2019/9/27,2175.54
2020/1/14,"2,388.50","2,388.41","2,394.27","2,385.46",-,0.01%,,2019/9/28,#N/A
2020/1/15,"2,392.06","2,388.32","2,396.93","2,386.35",-,0.15%,,2019/9/29,#N/A
2020/1/16,"2,406.17","2,393.16","2,406.18","2,392.41",-,0.59%,,2019/9/30,2180.02
2020/1/17,"2,415.51","2,407.19","2,415.51","2,406.42",-,0.39%,,2019/10/1,2158.47
2020/1/20,"2,415.03","2,415.19","2,416.53","2,413.95",-,-0.02%,,2019/10/2,2121.47
2020/1/21,"2,409.29","2,415.62","2,415.62","2,406.77",-,-0.24%,,2019/10/3,2131.36
2020/1/22,"2,410.23","2,408.55","2,419.06","2,408.52",-,0.04%,,2019/10/4,2153.83
2020/1/23,"2,406.14","2,410.86","2,411.19","2,395.44",-,-0.17%,,2019/10/5,#N/A
2020/1/24,"2,395.31","2,406.23","2,415.43","2,389.24",-,-0.45%,,2019/10/6,#N/A
2020/1/27,"2,356.09","2,396.25","2,396.58","2,354.15",-,-1.64%,,2019/10/7,2151.82
2020/1/28,"2,372.52","2,355.87","2,377.71","2,352.94",-,0.70%,,2019/10/8,2124.15
2020/1/29,"2,373.52","2,373.77","2,383.07","2,371.95",-,0.04%,,2019/10/9,2137.62
2020/1/30,"2,372.01","2,374.43","2,374.78","2,351.68",-,-0.06%,,2019/10/10,2150.16
2020/1/31,"2,342.41","2,371.64","2,374.68","2,337.97",-,-1.25%,,2019/10/11,2179.33
2020/2/3,"2,351.45","2,342.14","2,361.26","2,338.51",-,0.39%,,2019/10/12,#N/A
2020/2/4,"2,383.30","2,351.21","2,388.03","2,350.55",-,1.35%,,2019/10/13,#N/A
2020/2/5,"2,404.96","2,383.61","2,406.20","2,383.61",-,0.91%,,2019/10/14,2175.28
2020/2/6,"2,416.48","2,405.10","2,417.48","2,405.09",-,0.48%,,2019/10/15,2196.61
2020/2/7,"2,404.75","2,416.56","2,416.66","2,401.12",-,-0.49%,,2019/10/16,2195.35
2020/2/10,"2,413.10","2,403.52","2,413.10","2,397.12",-,0.35%,,2019/10/17,2201.92
2020/2/11,"2,421.26","2,412.73","2,430.14","2,412.72",-,0.34%,,2019/10/18,2195.28
2020/2/12,"2,434.95","2,421.72","2,434.95","2,420.87",-,0.57%,,2019/10/19,#N/A
2020/2/13,"2,429.89","2,433.95","2,434.49","2,420.96",-,-0.21%,,2019/10/20,#N/A
2020/2/14,"2,431.37","2,429.32","2,432.25","2,425.30",-,0.06%,,2019/10/21,2209.34
2020/2/17,"2,430.69","2,431.44","2,432.17","2,428.73",-,-0.03%,,2019/10/22,2204.29
2020/2/18,"2,421.47","2,431.13","2,431.19","2,413.78",-,-0.38%,,2019/10/23,2208.28
2020/2/19,"2,431.22","2,420.85","2,433.60","2,420.18",-,0.40%,,2019/10/24,2215.64
2020/2/20,"2,420.21","2,431.02","2,433.95","2,405.54",-,-0.45%,,2019/10/25,2222.75
2020/2/21,"2,402.80","2,419.40","2,420.58","2,398.97",-,-0.72%,,2019/10/26,#N/A
2020/2/24,"2,330.75","2,401.75","2,401.99","2,326.23",-,-3.00%,,2019/10/27,#N/A
2020/2/25,"2,269.42","2,328.51","2,330.67","2,265.53",-,-2.63%,,2019/10/28,2231.4
2020/2/26,"2,258.62","2,269.19","2,291.63","2,254.23",-,-0.48%,,2019/10/29,2232.45
2020/2/27,"2,177.25","2,258.95","2,259.07","2,177.16",-,-3.60%,,2019/10/30,2237.31
2020/2/28,"2,141.12","2,175.92","2,176.00","2,087.86",-,-1.66%,,2019/10/31,2233.53
2020/3/2,"2,212.38","2,144.07","2,212.53","2,139.85",-,3.33%,,2019/11/1,2252.07
2020/3/3,"2,179.48","2,212.99","2,249.35","2,167.64",-,-1.49%,,2019/11/2,#N/A
2020/3/4,"2,243.09","2,179.29","2,243.22","2,175.99",-,2.92%,,2019/11/3,#N/A
2020/3/5,"2,192.35","2,243.17","2,248.62","2,182.53",-,-2.26%,,2019/11/4,2261.45
2020/3/6,"2,149.29","2,194.79","2,194.79","2,116.32",-,-1.96%,,2019/11/5,2259.26
2020/3/9,"1,995.22","2,152.33","2,152.46","1,992.29",-,-7.17%,,2019/11/6,2261.37
2020/3/10,"2,051.96","1,994.60","2,051.96","1,982.51",-,2.84%,,2019/11/7,2266.69
2020/3/11,"1,972.04","2,049.04","2,054.74","1,956.02",-,-3.89%,,2019/11/8,2268.83
2020/3/12,"1,776.52","1,970.61","1,970.61","1,776.52",-,-9.91%,,2019/11/9,#N/A
2020/3/13,"1,881.64","1,778.10","1,882.28","1,760.17",-,5.92%,,2019/11/10,#N/A
2020/3/16,"1,702.79","1,885.08","1,885.45","1,699.79",-,-9.51%,,2019/11/11,2266.36
2020/3/17,"1,772.93","1,702.25","1,788.52","1,683.91",-,4.12%,,2019/11/12,2270.01
2020/3/18,"1,682.25","1,774.56","1,778.49","1,626.51",-,-5.11%,,2019/11/13,2268.33
2020/3/19,"1,694.45","1,684.07","1,717.87","1,636.94",-,0.73%,,2019/11/14,2265.29
2020/3/20,"1,650.94","1,690.04","1,729.69","1,644.91",-,-2.57%,,2019/11/15,2282.8
2020/3/23,"1,602.11","1,647.45","1,652.22","1,579.14",-,-2.96%,,2019/11/16,#N/A
2020/3/24,"1,742.61","1,605.52","1,742.61","1,605.43",-,8.77%,,2019/11/17,#N/A
2020/3/25,"1,785.99","1,745.35","1,834.67","1,739.01",-,2.49%,,2019/11/18,2285.76
2020/3/26,"1,875.56","1,788.40","1,879.92","1,779.88",-,5.02%,,2019/11/19,2284.85
2020/3/27,"1,827.17","1,876.21","1,884.92","1,811.35",-,-2.58%,,2019/11/20,2274.92
2020/3/30,"1,870.48","1,829.35","1,873.55","1,818.03",-,2.37%,,2019/11/21,2270.36
2020/3/31,"1,852.73","1,871.00","1,881.14","1,847.48",-,-0.95%,,2019/11/22,2273.89
2020/4/1,"1,781.27","1,855.09","1,856.84","1,771.13",-,-3.86%,,2019/11/23,#N/A
2020/4/2,"1,803.07","1,781.33","1,810.91","1,765.26",-,1.22%,,2019/11/24,#N/A
2020/4/3,"1,776.86","1,802.87","1,804.73","1,763.77",-,-1.45%,,2019/11/25,2290.65
2020/4/6,"1,881.48","1,775.95","1,887.42","1,775.61",-,5.89%,,2019/11/26,2294.78
2020/4/7,"1,895.04","1,883.20","1,945.55","1,882.98",-,0.72%,,2019/11/27,2302.67
2020/4/8,"1,940.08","1,896.30","1,944.56","1,889.37",-,2.38%,,2019/11/28,2301.79
2020/4/9,"1,970.67","1,939.83","1,985.11","1,938.34",-,1.58%,,2019/11/29,2292.26
2020/4/10,"1,971.95","1,969.51","1,972.79","1,968.00",-,0.06%,,2019/11/30,#N/A
2020/4/13,"1,956.75","1,970.82","1,971.84","1,936.96",-,-0.77%,,2019/12/1,#N/A
2020/4/14,"2,006.81","1,958.46","2,009.73","1,957.92",-,2.56%,,2019/12/2,2276.4
2020/4/15,"1,960.20","2,007.24","2,008.26","1,949.68",-,-2.32%,,2019/12/3,2263.1
2020/4/16,"1,964.33","1,957.89","1,969.81","1,947.01",-,0.21%,,2019/12/4,2275.47
2020/4/17,"2,017.51","1,966.08","2,018.69","1,966.08",-,2.71%,,2019/12/5,2278.63
2020/4/20,"1,994.03","2,015.56","2,016.23","1,989.25",-,-1.16%,,2019/12/6,2296.39
2020/4/21,"1,932.25","1,991.45","1,991.57","1,927.14",-,-3.10%,,2019/12/7,#N/A
2020/4/22,"1,968.27","1,930.97","1,974.42","1,928.21",-,1.86%,,2019/12/8,#N/A
2020/4/23,"1,974.38","1,968.46","1,999.55","1,967.52",-,0.31%,,2019/12/9,2292.58
2020/4/24,"1,987.65","1,971.62","1,990.67","1,964.37",-,0.67%,,2019/12/10,2289.67
2020/4/27,"2,022.49","1,988.73","2,026.66","1,988.41",-,1.75%,,2019/12/11,2295.02
2020/4/28,"2,023.35","2,021.91","2,053.65","2,020.14",-,0.04%,,2019/12/12,2309.36
2020/4/29,"2,070.76","2,023.90","2,078.66","2,023.90",-,2.34%,,2019/12/13,2319.73
2020/4/30,"2,052.85","2,072.60","2,077.74","2,043.10",-,-0.86%,,2019/12/14,#N/A
2020/5/1,"2,004.79","2,049.78","2,050.13","1,999.44",-,-2.34%,,2019/12/15,#N/A
2020/5/4,"1,997.75","2,002.13","2,002.13","1,976.01",-,-0.35%,,2019/12/16,2337.45
2020/5/5,"2,018.11","1,998.17","2,032.59","1,998.17",-,1.02%,,2019/12/17,2336.62
2020/5/6,"2,007.60","2,018.21","2,030.00","2,006.85",-,-0.52%,,2019/12/18,2333.28
2020/5/7,"2,026.12","2,005.93","2,038.13","2,005.04",-,0.92%,,2019/12/19,2340.65
2020/5/8,"2,061.89","2,030.43","2,061.89","2,030.43",-,1.77%,,2019/12/20,2349.87
2020/5/11,"2,060.70","2,060.82","2,066.39","2,045.32",-,-0.06%,,2019/12/21,#N/A
2020/5/12,"2,034.06","2,059.96","2,070.81","2,032.05",-,-1.29%,,2019/12/22,#N/A
2020/5/13,"1,998.48","2,030.87","2,032.60","1,984.49",-,-1.75%,,2019/12/23,2350.75
2020/5/14,"1,999.89","1,997.23","2,000.16","1,952.89",-,0.07%,,2019/12/24,2351.84
2020/5/15,"2,008.41","2,001.32","2,008.77","1,986.80",-,0.43%,,2019/12/25,2351.22
2020/5/18,"2,069.00","2,009.06","2,077.02","2,008.37",-,3.02%,,2019/12/26,2360.21
2020/5/19,"2,061.37","2,071.66","2,081.85","2,060.39",-,-0.37%,,2019/12/27,2364.9
2020/5/20,"2,092.03","2,060.37","2,096.69","2,058.77",-,1.49%,,2019/12/28,#N/A
2020/5/21,"2,074.10","2,091.48","2,093.14","2,068.48",-,-0.86%,,2019/12/29,#N/A
2020/5/22,"2,071.90","2,074.80","2,075.39","2,059.83",-,-0.11%,,2019/12/30,2353.25
2020/5/25,"2,081.83","2,073.92","2,082.05","2,073.37",-,0.48%,,2019/12/31,2358.47
2020/5/26,"2,114.27","2,083.10","2,127.61","2,083.04",-,1.56%,,2020/1/1,2358.48
2020/5/27,"2,136.90","2,114.36","2,138.66","2,102.49",-,1.07%,,2020/1/2,2375.94
2020/5/28,"2,148.33","2,140.17","2,167.71","2,139.70",-,0.53%,,2020/1/3,2363.12
2020/5/29,"2,147.88","2,147.81","2,149.63","2,126.32",-,-0.02%,,2020/1/4,#N/A
2020/6/1,"2,163.92","2,147.96","2,166.85","2,147.63",-,0.75%,,2020/1/5,#N/A
2020/6/2,"2,187.09","2,164.68","2,187.09","2,164.55",-,1.07%,,2020/1/6,2364.49
2020/6/3,"2,222.54","2,187.95","2,226.83","2,187.95",-,1.62%,,2020/1/7,2362.43
2020/6/4,"2,218.50","2,223.77","2,227.91","2,207.65",-,-0.18%,,2020/1/8,2366.93
2020/6/5,"2,266.76","2,217.31","2,274.68","2,216.20",-,2.18%,,2020/1/9,2379.85
2020/6/8,"2,288.04","2,268.33","2,289.20","2,263.83",-,0.94%,,2020/1/10,2377.62
2020/6/9,"2,275.28","2,289.24","2,291.59","2,266.21",-,-0.56%,,2020/1/11,#N/A
2020/6/10,"2,267.36","2,273.08","2,285.90","2,261.83",-,-0.35%,,2020/1/12,#N/A
2020/6/11,"2,154.44","2,266.86","2,267.28","2,149.94",-,-4.98%,,2020/1/13,2388.25
2020/6/12,"2,164.46","2,148.23","2,196.02","2,135.87",-,0.47%,,2020/1/14,2388.5
2020/6/15,"2,171.44","2,163.37","2,179.99","2,116.44",-,0.32%,,2020/1/15,2392.06
2020/6/16,"2,219.10","2,175.76","2,238.02","2,175.76",-,2.19%,,2020/1/16,2406.17
2020/6/17,"2,217.90","2,220.53","2,231.61","2,214.51",-,-0.05%,,2020/1/17,2415.51
2020/6/18,"2,215.64","2,218.24","2,220.16","2,203.36",-,-0.10%,,2020/1/18,#N/A
2020/6/19,"2,208.97","2,215.22","2,237.26","2,201.70",-,-0.30%,,2020/1/19,#N/A
2020/6/22,"2,217.82","2,207.41","2,220.10","2,198.59",-,0.40%,,2020/1/20,2415.03
2020/6/23,"2,236.04","2,220.90","2,246.32","2,215.22",-,0.82%,,2020/1/21,2409.29
2020/6/24,"2,180.12","2,234.47","2,235.58","2,171.19",-,-2.50%,,2020/1/22,2410.23
2020/6/25,"2,193.40","2,176.85","2,194.75","2,160.47",-,0.61%,,2020/1/23,2406.14
2020/6/26,"2,157.19","2,195.11","2,203.41","2,157.02",-,-1.65%,,2020/1/24,2395.31
2020/6/29,"2,176.44","2,156.81","2,176.89","2,148.60",-,0.89%,,2020/1/25,#N/A
2020/6/30,"2,201.79","2,178.80","2,207.66","2,173.62",-,1.16%,,2020/1/26,#N/A
2020/7/1,"2,211.27","2,202.77","2,216.99","2,194.91",-,0.43%,,2020/1/27,2356.09
2020/7/2,"2,227.65","2,211.70","2,247.99","2,211.07",-,0.74%,,2020/1/28,2372.52
2020/7/3,"2,226.39","2,229.25","2,231.32","2,224.53",-,-0.06%,,2020/1/29,2373.52
2020/7/6,"2,264.29","2,226.82","2,265.66","2,226.81",-,1.70%,,2020/1/30,2372.01
2020/7/7,"2,243.17","2,263.58","2,265.32","2,241.29",-,-0.93%,,2020/1/31,2342.41
2020/7/8,"2,252.64","2,241.37","2,255.37","2,235.52",-,0.42%,,2020/2/1,#N/A
2020/7/9,"2,240.73","2,253.46","2,260.79","2,221.54",-,-0.53%,,2020/2/2,#N/A
2020/7/10,"2,259.60","2,240.02","2,259.60","2,232.56",-,0.84%,,2020/2/3,2351.45
2020/7/13,"2,253.76","2,260.07","2,294.70","2,249.28",-,-0.26%,,2020/2/4,2383.3
2020/7/14,"2,270.69","2,250.97","2,272.20","2,232.93",-,0.75%,,2020/2/5,2404.96
2020/7/15,"2,298.78","2,272.82","2,306.12","2,272.82",-,1.24%,,2020/2/6,2416.48
2020/7/16,"2,288.81","2,298.47","2,298.47","2,279.16",-,-0.43%,,2020/2/7,2404.75
2020/7/17,"2,293.92","2,286.83","2,299.23","2,283.22",-,0.22%,,2020/2/8,#N/A
2020/7/20,"2,312.95","2,295.59","2,315.91","2,290.54",-,0.83%,,2020/2/9,#N/A
2020/7/21,"2,321.55","2,313.93","2,333.64","2,313.93",-,0.37%,,2020/2/10,2413.1
2020/7/22,"2,327.76","2,322.50","2,329.00","2,314.82",-,0.27%,,2020/2/11,2421.26
2020/7/23,"2,308.12","2,327.01","2,332.03","2,301.75",-,-0.84%,,2020/2/12,2434.95
2020/7/24,"2,291.58","2,307.94","2,309.35","2,282.51",-,-0.72%,,2020/2/13,2429.89
2020/7/27,"2,311.62","2,290.64","2,311.62","2,289.95",-,0.87%,,2020/2/14,2431.37
2020/7/28,"2,299.91","2,311.30","2,313.56","2,298.64",-,-0.51%,,2020/2/15,#N/A
2020/7/29,"2,319.71","2,298.43","2,324.13","2,296.82",-,0.86%,,2020/2/16,#N/A
2020/7/30,"2,304.01","2,321.12","2,321.60","2,278.69",-,-0.68%,,2020/2/17,2430.69
2020/7/31,"2,304.98","2,307.08","2,311.56","2,279.06",-,0.04%,,2020/2/18,2421.47
2020/8/3,"2,324.08","2,304.21","2,329.36","2,301.66",-,0.83%,,2020/2/19,2431.22
2020/8/4,"2,336.82","2,327.09","2,339.32","2,323.93",-,0.55%,,2020/2/20,2420.21
2020/8/5,"2,355.94","2,339.20","2,357.69","2,337.34",-,0.82%,,2020/2/21,2402.8
2020/8/6,"2,359.89","2,355.17","2,361.81","2,343.99",-,0.17%,,2020/2/22,#N/A
2020/8/7,"2,355.97","2,360.56","2,360.86","2,344.19",-,-0.17%,,2020/2/23,#N/A
2020/8/10,"2,360.87","2,355.69","2,364.04","2,347.82",-,0.21%,,2020/2/24,2330.75
2020/8/11,"2,359.47","2,360.61","2,382.53","2,354.91",-,-0.06%,,2020/2/25,2269.42
2020/8/12,"2,391.80","2,358.36","2,394.46","2,357.01",-,1.37%,,2020/2/26,2258.62
2020/8/13,"2,390.08","2,392.64","2,396.54","2,383.42",-,-0.07%,,2020/2/27,2177.25
2020/8/14,"2,384.20","2,389.12","2,390.16","2,379.00",-,-0.25%,,2020/2/28,2141.12
2020/8/17,"2,393.97","2,384.15","2,396.20","2,381.11",-,0.41%,,2020/2/29,#N/A
2020/8/18,"2,399.37","2,394.26","2,405.86","2,388.89",-,0.23%,,2020/3/1,#N/A
2020/8/19,"2,394.47","2,400.39","2,406.65","2,388.33",-,-0.20%,,2020/3/2,2212.38
2020/8/20,"2,389.15","2,389.82","2,393.64","2,371.46",-,-0.22%,,2020/3/3,2179.48
2020/8/21,"2,392.11","2,392.91","2,394.79","2,382.35",-,0.12%,,2020/3/4,2243.09
2020/8/24,"2,417.05","2,393.08","2,417.05","2,392.26",-,1.04%,,2020/3/5,2192.35
2020/8/25,"2,422.95","2,417.60","2,425.05","2,414.40",-,0.24%,,2020/3/6,2149.29
2020/8/26,"2,446.05","2,423.60","2,447.66","2,420.34",-,0.95%,,2020/3/7,#N/A
